title,url,discoutned_price,original_price
1.4 inch Immunity Monitor Fitness Tracker Waterproof Smart Watch,https://www.cigabuy.com/14-inch-immunity-monitor-fitness-tracker-waterproof-smart-watch-p-19465.html,$14.59,$20.43 
H50 Smart Watch Blood Pressure Heart Rate Monitor IP67 Waterproof Bracelet,https://www.cigabuy.com/h50-smart-watch-blood-pressure-heart-rate-monitor-ip67-waterproof-bracelet-p-19464.html,$13.52,$20.43 
Printed Yoga Pants Women Sport Leggings Tight Trouser Pencil Sport,https://www.cigabuy.com/printed-yoga-pants-women-sport-leggings-tight-trouser-pencil-sport-p-19618.html,$3.95,$16.80 
USB Rechargeable Aluminum Alloy Battery Display Telescopic Zoom LED Flashlight,https://www.cigabuy.com/usb-rechargeable-aluminum-alloy-battery-display-telescopic-zoom-led-flashlight-p-19461.html,$5.65,$19.98 
B9 TWS 5.0 Bluetooth Earbud 8D Stereo Smart Touch Control Wireless Earphones,https://www.cigabuy.com/b9-tws-50-bluetooth-earbud-8d-stereo-smart-touch-control-wireless-earphones-p-19474.html,$8.97,$21.39 
Universal USB Quick Charge 3.0 Wall Adapter Android Mobile Phone Fast Charger,https://www.cigabuy.com/universal-usb-quick-charge-30-wall-adapter-android-mobile-phone-fast-charger-p-19475.html,$2.16,$5.57 
Mini Electrical Screwdriver power tools 3.6V Rechargeable Cordless Power Drill,https://www.cigabuy.com/mini-electrical-screwdriver-power-tools-36v-rechargeable-cordless-power-drill-p-19576.html,$8.20,$21.39 
Camping Cookware Kit Outdoor Cooking Set Water Kettle Pan Pot Travelling Hiking,https://www.cigabuy.com/camping-cookware-kit-outdoor-cooking-set-water-kettle-pan-pot-travelling-hiking-p-19534.html,$20.97,$93.21 
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,https://www.cigabuy.com/100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-19318.html,$3.68,$15.94 
Biker Gloves Motorcross Full Finger Motorcycle Bicycle Cycling Waterproof Glove,https://www.cigabuy.com/biker-gloves-motorcross-full-finger-motorcycle-bicycle-cycling-waterproof-glove-p-19607.html,$4.59,$20.47 
K2 Powerful Bass USB Notebook Stereo Speakers Subwoofer Full Frequency Speaker,https://www.cigabuy.com/k2-powerful-bass-usb-notebook-stereo-speakers-subwoofer-full-frequency-speaker-p-19451.html,$6.93,$48.17 
5.0 Bluetooth Adapter Led Screen Wireless Audio Blue Tooth Transmitter Receiver,https://www.cigabuy.com/50-bluetooth-adapter-led-screen-wireless-audio-blue-tooth-transmitter-receiver-p-19470.html,$8.42,$19.56 
USB Blackhead Remover Face Skin Care Deep Pore Cleaner Removal Vacuum Suction,https://www.cigabuy.com/usb-blackhead-remover-face-skin-care-deep-pore-cleaner-removal-vacuum-suction-p-19621.html,$5.01,$18.54 
Teclast P10HD 4G Tablets 10.1inch Android 9.0 1920x1200 Octa Core 3GB +32GB,https://www.cigabuy.com/teclast-p10hd-4g-tablets-101inch-android-90-1920x1200-octa-core-3gb-32gb-p-19452.html,$124.18,$244.20 
X96Q Android 10.0 TV Box Quad Core Allwinner H313 4K TV Box 2GB RAM 16GB ROM,https://www.cigabuy.com/x96q-android-100-tv-box-quad-core-allwinner-h313-4k-tv-box-2gb-ram-16gb-rom-p-18997.html,$19.88,$46.69 
Xiaomi Cervical Massager Back Neck Massager Far Infrared Heating Health Care,https://www.cigabuy.com/xiaomi-cervical-massager-back-neck-massager-far-infrared-heating-health-care-p-19626.html,$47.36,$114.23 
2M1080P Type-C to HDMI Cable USB Lightning Port Adapter Converter,https://www.cigabuy.com/2m1080p-type-to-hdmi-cable-usb-lightning-port-adapter-converter-p-19528.html,$12.46,$21.39 
Yangmaile Gaming Keyboard Mechanical Feel G700 LED Rainbow Color Backlight Gamin,https://www.cigabuy.com/yangmaile-gaming-keyboard-mechanical-feel-g700-led-rainbow-color-backlight-gamin-p-19613.html,$7.99,$51.95 
USB Quick Charge 4 Port Fast Front Back Rear Seat Cars Charging Adapter,https://www.cigabuy.com/usb-quick-charge-4-port-fast-front-back-rear-seat-cars-charging-adapter-p-19476.html,$6.93,$13.59 
Y113 TWS Earbuds Wireless Headphones Pro Bluetooth Sport Headset,https://www.cigabuy.com/y113-tws-earbuds-wireless-headphones-pro-bluetooth-sport-headset-p-19604.html,$6.71,$19.17 
