title,year,duration,genre,rating,rating_description,movie_url,User_Agent
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,"9.3 based on 2,335,669 user ratings",https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Taare Zameen Par ,2007,2h 45min,Drama,8.4,"8.4 based on 168,131 user ratings",https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Lives of Others ,2006,2h 17min,Drama,8.4,"8.4 based on 357,740 user ratings",https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Oldboy ,2003,1h 41min,Action,8.4,"8.4 based on 513,772 user ratings",https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Django Unchained ,2012,2h 45min,Drama,8.4,"8.4 based on 1,353,216 user ratings",https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Avengers: Endgame ,2019,3h 1min,Action,8.4,"8.4 based on 802,276 user ratings",https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
3 Idiots ,2009,2h 50min,Comedy,8.4,"8.4 based on 343,140 user ratings",https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Dangal ,2016,2h 41min,Action,8.4,"8.4 based on 155,595 user ratings",https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Your Name. ,2016,1h 46min,Animation,8.4,"8.4 based on 192,998 user ratings",https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
City Lights ,1931,1h 27min,Comedy,8.5,"8.5 based on 167,312 user ratings",https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
